from,tokenid,amount
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,21,555
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,21,665
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,21,800
0xda26cBEcFC78Fc5E59362544Fe4DD956F9D7598f,21,700
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,21,888
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,21,900
0xf7d2B01d65d8Ca773c3Bf79212D180a441507DD5,21,900
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,21,1000
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,21,1111
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,21,1400
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,21,1200
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,21,1666
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,21,1500
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,21,1900
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,21,1800
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,21,2111
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,22,100
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,22,600
0xf7d2B01d65d8Ca773c3Bf79212D180a441507DD5,22,700
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,22,800
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,22,750
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,22,1000
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,22,1200
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,22,1500
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,22,1550
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,22,1600
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,22,2000
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,22,1600
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,22,1800
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,22,1650
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,22,2200
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,22,2100
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,22,2500
0x9Cd6140c2De8AF7595629bCcA099497f0c28B2A9,22,3000
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,22,2550
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,22,3500
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,23,234
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,23,1069
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,23,1000
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,23,2000
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,23,2500
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,23,3000
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,23,3250
0x9Cd6140c2De8AF7595629bCcA099497f0c28B2A9,23,4321
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,23,3500
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,23,5000
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,24,2000
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,24,2200
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,24,2250
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,24,2500
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,25,1000
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,25,1000
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,25,1100
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,25,100
0xD80775766186eF44c73422fDF97D92701C27f70E,25,1200
0x465E54669973c73bF36cF44DA42A5EA98618f2CA,26,100
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,26,250
0x9D20B912e8F66486CDf9cE02c20647C7153d65E5,26,110
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,26,123
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,26,333
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,26,369
0x4f40B77eB388Fb1C74fcD511Db498AD4d08AB54B,26,400
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,26,376.38
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,26,425
0x4f40B77eB388Fb1C74fcD511Db498AD4d08AB54B,26,690
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,26,705
0xf591Db9Dccd5d3Aaf8508dA2CFFEdd5ef5bb920F,26,300
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,26,750
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,27,100
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,27,123
0x4f40B77eB388Fb1C74fcD511Db498AD4d08AB54B,27,420
0xD80775766186eF44c73422fDF97D92701C27f70E,27,500
0xD80775766186eF44c73422fDF97D92701C27f70E,27,500
0x4f40B77eB388Fb1C74fcD511Db498AD4d08AB54B,27,690
0xD80775766186eF44c73422fDF97D92701C27f70E,27,700
0xD80775766186eF44c73422fDF97D92701C27f70E,27,700
0xD80775766186eF44c73422fDF97D92701C27f70E,27,700
0xD80775766186eF44c73422fDF97D92701C27f70E,27,800
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,27,777
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,27,750
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,27,888
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,27,1000
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,28,500
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,28,100
0xda26cBEcFC78Fc5E59362544Fe4DD956F9D7598f,28,550
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,28,600
0x4f40B77eB388Fb1C74fcD511Db498AD4d08AB54B,28,690
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,28,750
0xD80775766186eF44c73422fDF97D92701C27f70E,28,800
0xB3fe63FA04eC5D65316fc1FFbd5Dd32f3813cea8,29,69
0xB3fe63FA04eC5D65316fc1FFbd5Dd32f3813cea8,29,69
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,29,232
0xE8D5d28F875F81f49D2faE5250477c5D7A46AbF2,29,200
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,29,333
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,29,1000
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,29,1400
0xD80775766186eF44c73422fDF97D92701C27f70E,29,1800
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,29,1888
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,29,2000
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,29,2000
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,29,1969
0x3cef170a51a5Bd3F2b07Cf32338142672D61ff20,29,2100
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,29,2222
0x3cef170a51a5Bd3F2b07Cf32338142672D61ff20,29,2275
0x4C4050ecDcC0A99648Afb531A123c4dbf215d387,31,15
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,31,222
0xD80775766186eF44c73422fDF97D92701C27f70E,31,400
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,31,408
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,31,555
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,31,469
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,31,666
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,31,769
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,31,888
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,31,920
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,31,999
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,31,1020
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,32,200
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,32,369
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,32,100
0xD80775766186eF44c73422fDF97D92701C27f70E,32,900
0x3eFbe2262eD0Ee598FdD0417909cbaaEE8D673A1,32,950
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,32,1169
0x3eFbe2262eD0Ee598FdD0417909cbaaEE8D673A1,32,1200
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,32,1269
0xE8D5d28F875F81f49D2faE5250477c5D7A46AbF2,33,420
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,33,101
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,33,450
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,33,500
0xE8D5d28F875F81f49D2faE5250477c5D7A46AbF2,33,550
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,33,666
0xcfc14D1dc16F9c737355b678442d7491DC5183bC,33,700
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,33,769
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,34,500
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,34,600
